J-N644-0001	手がかりの矢印を頼りに砂を掘り、時間内に一番多くの宝を掘り当てた人が勝ち	built
J-N644-0002	息が続く限り水中で宝を集め、限界が来る前に浮上した中で一番多く集めた人が勝ち	built
J-N644-0003	時限式の爆弾を仲間内で順番に受け渡し、爆発した瞬間に持っていた人が負け	built
J-N644-0004	音楽が止まったら台の上に飛び乗る椅子取りゲームで、台がどんどん減っていき最後まで残った人が勝ち	built
J-N644-0005	指定された図形をなぞって切り取り、一番形に近く切れた人が勝ち	built
J-N644-0006	伸び縮みする顔を引っ張ってお手本の形を作り、一番近づけた人が勝ち	built
J-N644-0007	相手の風船を割り合い、自分の風船を最後まで残した人が勝ち	built
J-N644-0008	頭上のブロックを叩いてコインを出し、制限時間内に一番多く集めた人が勝ち	built
J-N644-0009	坂道を滑り降りながら迫る障害物を避け、最後まで転ばず滑り切った人が勝ち	built
J-N644-0010	箱の山を滑り降りながら中身を集め、合計得点が一番高い人が勝ち	built
J-N644-0011	足場が次々消えていく塔を登り、最後まで落ちずに残った人が勝ち	built
J-N644-0012	回転する台の上を飛び移り、縮んでいく足場から最後まで落ちなかった人が勝ち	built
J-N644-0013	綱を引き合って袋を奪い合い、自分の陣地に多く引き寄せた人が勝ち	built
J-N644-0014	大きなボールに入って体当たりし合い、最後まで台の上に残った人が勝ち	built
J-N644-0015	丸太の上でバランスを取りながら体当たりし、相手を落とした最後の一人が勝ち	built
J-N644-0016	移動する足場から爆弾を落とし、地上の的に一番多く命中させた人が勝ち	built
J-N644-0017	指揮に合わせて自分の担当パートを正しいタイミングで鳴らし、ずれた人から脱落	built
J-N644-0018	お手本の動きだけを真似する指示ゲームで、合図がない時に動くと脱落	built
J-N644-0019	釣り竿を投げて海に浮かぶ品物を釣り上げ、一番多く釣った人が勝ち	built
J-N644-0020	玉を打ち合って自分の色の的をゴールまで先に押し込んだ人が勝ち	built
J-N644-0021	迫りくる巨大な玉から通路を逃げ切り、最後まで捕まらなかった人が勝ち	built
J-N644-0022	回る縄を跳び続け、引っかかった人から脱落して最後まで残った人が勝ち	built
J-N644-0023	近づいてくる相手をハンマーで叩き落とし、自分が落とされなかった人が勝ち	built
J-N644-0024	レールの上を走るミニカーの速度を調整し、コースアウトせず一番早くゴールした人が勝ち	built
J-N644-0025	そりで氷の坂を滑り降り、障害物を避けながら一番速くゴールした人が勝ち	built
J-N644-0026	砂漠の坂を駆け上がり、崩れる砂に飲まれず一番先にゴールした人が勝ち	built
J-N644-0027	爆弾を篭に投げ入れ、制限時間内に一番多く決めた人が勝ち	built
J-N644-0028	レール上の手押し車のハンドルを交互に押して加速し、障害物を避けて一番先にゴールした人が勝ち	built
J-N644-0029	潜水して海底の宝を集め、空気が切れる前に一番多く回収した人が勝ち	built
J-N641vs3-0001	土管の迷路の中で1人が残り全員を追いかけ、制限時間内に全員捕まえられれば追う側の勝ち	built
J-N641vs3-0002	1人がブロックを叩いてコインを落とし、残り全員がそれを取り合って多く集めた側が勝ち	built
J-N641vs3-0003	転がってくる玉を避け続け、最後まで当たらなかった側が勝ち	built
J-N641vs3-0004	上から降ってくるコインを浴びて集め、一番多く受け止めた人が勝ち	built
J-N641vs3-0005	クレーンで物を落とす側と、それを避けながら下で受け止める側に分かれて勝敗を競う	built
J-N641vs3-0006	川に浮かぶ舟の上で相手をオールで弾き飛ばし、最後まで舟に残った人が勝ち	built
J-N641vs3-0007	水中で1人が残り全員を追いかけ、制限時間内に全員捕まえられれば追う側の勝ち	built
J-N641vs3-0008	綱を引き合い、相手を自分の陣地側に引きずり込んだ側が勝ち	built
J-N641-0001	シャッフルされた箱の動きをよく見て覚え、止まった後にどれに宝が入っているか当てる	built
J-N641-0002	地面から出てくる的を踏みつけ、正しいタイミングで踏めた数だけ得点を稼ぐ	built
J-N641-0003	徐々に下がってくるバーに触れないよう体をかがめてくぐり抜け、耐えた時間を競う	built
J-N641-0004	裏返ったカードをめくって同じ絵柄をそろえ、少ない手数でそろえた枚数を競う	built
J-N641-0005	シャッフルされた入れ物の動きを目で追い、止まった後にどれに中身が入っているか当てる	built
J-N641-0006	レバーを引いて絵柄を止め、そろった数で得点が決まる	built
J-N641-0007	次々顔を出す的をタイミングよく叩き、当てた数を競う	built
J-N641-0008	積み上がった台の上でバランスを保ち、崩れずに耐えた時間を競う	built
J-N641-0009	積み木の塔から下の段を抜き取り、上を崩さず何個抜けたかを競う	built
J-N641-0010	ペダルを踏む速さを競い、制限時間内にどれだけ進めるかを競う	built
J-N641-0011	ぜんまい仕掛けの走者を操って一定距離を走らせ、タイムを競う	built
J-N6424-0001	風船を付けたカートで走り、相手の風船を割って最後まで自分の風船を残した人が勝ち	built
J-N6424-0002	踏んだ床がどんどん沈んでいく足場の上で、最後まで沈まず残った人が勝ち	built
J-N6424-0003	殻に乗ってコースを滑り降り、障害物を避けて一番早くゴールした人が勝ち	built
J-N6424-0004	ハンドルを回して箱の中の人形が飛び出す瞬間を狙い、うまく飛び出させた人が勝ち	built
J-N6424-0005	転がるブロックを止めて、指定された数字を出せた人が勝ち	built
J-N6424-0006	沈んでいく船の上で最後まで踏みとどまり、海に落ちなかった人が勝ち	built
J-N6424-0007	積み重なった人形を叩いて一段ずつ落とし、一番上に一番長く残った人が勝ち	built
J-N6424-0008	蜂の巣状のパネルがひっくり返って消えていき、最後まで落ちずに残った人が勝ち	built
J-N6424-0009	六角形のコースを走り、障害物を避けながら一番早く周回した人が勝ち	built
J-N6424-0010	眠っている番人の隙を見て少しずつ進み、目を覚ました瞬間に止まれなかった人は失格	built
J-N6424-0011	指示通りに車を操作してコースを進み、障害物にぶつからず先にゴールした人が勝ち	built
J-N6424-0012	警告された危険地帯から爆発が来る前に逃げ切れた人が勝ち	built
J-N6424-0013	崩れていく橋の上を走り抜け、落ちずに一番早くゴールした人が勝ち	built
J-N6424-0014	表示される動きの順番を覚えて音楽に合わせて再現し、間違えた人から脱落	built
J-N6424-0015	空から降ってくる爆弾を避けながら得点になる物を集め、生き残って多く集めた人が勝ち	built
J-N6424-0016	相手が振り向いていない間だけ進み、振り向いた時に動いていたら失格になるかけっこ	built
J-N6424-0017	床に流れる電流のタイミングを見て飛んだり転がったりして避け、最後まで感電しなかった人が勝ち	built
J-N6424-0018	一瞬だけ明かりが灯る部屋の地形を覚え、暗闇の中を進んでゴールを目指す	built
J-N6424-0019	迷路状の地下道を進み、一番早く出口にたどり着いた人が勝ち	built
J-N6424-0020	磁石を操作して欲しい品物だけを吸い付け、制限時間内に一番多く集めた人が勝ち	built
J-N6424-0021	ベルトコンベアで流れてくる品に正しい飾りを乗せ、失敗が少なかった人が勝ち	built
J-N6424-0022	その場でぐるぐる回った後、ふらつきながらも足場から落ちずに残った人が勝ち	built
J-N6424-0023	ハンマーで杭を打ち込み、下にいる相手の足場を沈めて先に沈められた人が負け	built
J-N6424-0024	海底の宝を鉤爪で引っ掛けて回収し、一番多く集めた人が勝ち	built
J-N6424-0025	円盤を打ち合い、相手のゴールに多く入れた人が勝ち	built
J-N6424-0026	魚雷を発射して動く的の船に命中させ、一番多く当てた人が勝ち	built
J-N6424-0027	車をぶつけ合って相手を場外に弾き出し、最後まで生き残った人が勝ち	built
J-N6424-0028	リズムに合わせてボタンを押して自分の馬を走らせ、一番早くゴールした人が勝ち	built
J-N6424-0029	降ってくるコインを熊手でかき集め、制限時間内に一番多く集めた人が勝ち	built
J-N6424-0030	魚を落とさないようバトン代わりにリレーで運び、一番早くゴールしたチームが勝ち	built
J-N6424-0031	弓矢を放って的の中心に近いほど高得点、合計点が一番高い人が勝ち	built
